"Freq. I(V1)"
"0.00000000000000e+00   (-2.01414905067918e+02dB,0.00000000000000e+00°)"
"5.00000000000000e+01   (-2.33713988821081e+02dB,9.73117789312636e+01°)"
"1.00000000000000e+02   (-2.27707193026777e+02dB,8.68578951523671e+01°)"
"1.50000000000000e+02   (-2.24226502489563e+02dB,8.03940885487360e+01°)"
"2.00000000000000e+02   (-2.18234587438235e+02dB,5.17742565803372e+01°)"
"2.50000000000000e+02   (-2.19936101232961e+02dB,6.97969304212118e+01°)"
"3.00000000000000e+02   (-2.18450664996605e+02dB,6.49022604711645e+01°)"
"3.50000000000000e+02   (-2.17229360904232e+02dB,6.01156484004130e+01°)"
"4.00000000000000e+02   (-2.16206218911003e+02dB,5.53869351998477e+01°)"
"4.50000000000000e+02   (-2.15339575446188e+02dB,5.07237606118936e+01°)"
"5.00000000000000e+02   (-2.14600514821172e+02dB,4.60811464780489e+01°)"
"5.50000000000000e+02   (-2.13969001816116e+02dB,4.14593004806969e+01°)"
"6.00000000000000e+02   (-2.14887247437644e+02dB,3.34472365200993e+01°)"
"6.50000000000000e+02   (-2.12974448335956e+02dB,3.22683206763391e+01°)"
"7.00000000000000e+02   (-2.12591736624480e+02dB,2.76798292459555e+01°)"
"7.50000000000000e+02   (-2.12276597990650e+02dB,2.30954904745862e+01°)"
"8.00000000000000e+02   (-2.12023719409157e+02dB,1.85156029488513e+01°)"
"8.50000000000000e+02   (-2.11830716713486e+02dB,1.39122949198866e+01°)"
"9.00000000000000e+02   (-2.11693136615804e+02dB,9.28026898291144e+00°)"
"9.50000000000000e+02   (-2.11607036904809e+02dB,4.49876143424156e+00°)"
"1.00000000000000e+03   (-1.85924439360124e+02dB,-1.70880441776805e+02°)"
"1.05000000000000e+03   (-2.11626875915903e+02dB,-3.69863903635118e+00°)"
"1.10000000000000e+03   (-2.11702668022216e+02dB,-8.48104881970058e+00°)"
"1.15000000000000e+03   (-2.11836627167636e+02dB,-1.31134727358627e+01°)"
"1.20000000000000e+03   (-2.12027671833416e+02dB,-1.77173137772637e+01°)"
"1.25000000000000e+03   (-2.12279225451332e+02dB,-2.22976128384671e+01°)"
"1.30000000000000e+03   (-2.12593344757626e+02dB,-2.68826070602845e+01°)"
"1.35000000000000e+03   (-2.12975179634333e+02dB,-3.14719176451064e+01°)"
"1.40000000000000e+03   (-2.14892359235899e+02dB,-3.27448263640562e+01°)"
"1.45000000000000e+03   (-2.13968095183643e+02dB,-4.06651328379671e+01°)"
"1.50000000000000e+03   (-2.14598708733812e+02dB,-4.52885284645318e+01°)"
"1.55000000000000e+03   (-2.15336732665092e+02dB,-4.99330723645337e+01°)"
"1.60000000000000e+03   (-2.16202092552455e+02dB,-5.45987269572869e+01°)"
"1.65000000000000e+03   (-2.17223574484482e+02dB,-5.93305180683813e+01°)"
"1.70000000000000e+03   (-2.18442528425496e+02dB,-6.41212196732300e+01°)"
"1.75000000000000e+03   (-2.19924364350692e+02dB,-6.90213929441354e+01°)"
"1.80000000000000e+03   (-2.18244416501239e+02dB,-5.08372017885347e+01°)"
"1.85000000000000e+03   (-2.24196109740323e+02dB,-7.96352073291440e+01°)"
